Date,Open,High,Low,Close,Volume,Adj. Close
18-10-17,1009.27,1022.31,996.55,997,2477357,997
19-10-17,990,991.05,980.24,986.61,3040066,986.61
20-10-17,993.53,994.62,982,982.91,2294145,982.91
23-10-17,986.73,986.775,962.5,966.3,3465469,966.3
24-10-17,969,979.85,965,975.9,2666782,975.9
25-10-17,978,984.44,966.24,972.91,2969295,972.91
26-10-17,980.33,982.9,968.55,972.43,3670282,972.43
27-10-17,1058.14,1105.58,1050.55,1100.95,16360527,1100.95
30-10-17,1095.01,1122.79,1093.56,1110.85,6516639,1110.85
31-10-17,1109,1110.54,1101.12,1105.28,3428461,1105.28
01-11-17,1105.4,1108.97,1096.74,1103.68,3723680,1103.68
02-11-17,1097.81,1101.94,1086.87,1094.22,3658748,1094.22
03-11-17,1091.15,1112.68,1088.52,1111.6,3685172,1111.6
06-11-17,1109.15,1125.41,1108.77,1120.66,3313857,1120.66
07-11-17,1124.74,1130.6,1117.5,1123.17,2623474,1123.17
09-11-17,1125.96,1129.62,1115.77,1129.13,3661411,1129.13
10-11-17,1126.1,1131.75,1124.06,1125.35,2162985,1125.35
13-11-17,1123,1139.9,1122.34,1129.17,2897563,1129.17
14-11-17,1130.11,1138,1123.89,1136.84,3042295,1136.84
15-11-17,1127.01,1131.75,1121.63,1126.69,3897230,1126.69
16-11-17,1130.16,1138.16,1130.05,1137.29,2190456,1137.29
17-11-17,1138.28,1138.8,1125.81,1129.88,2333554,1129.88
20-11-17,1129.77,1133.42,1122.55,1126.31,2134381,1126.31
21-11-17,1132.86,1140,1128.2,1139.49,2449503,1139.49
22-11-17,1141,1160.27,1141,1156.16,3516336,1156.16
24-11-17,1160.7,1186.84,1160.7,1186,3526582,1186
27-11-17,1202.66,1213.41,1191.15,1195.83,6701343,1195.83
28-11-17,1204.88,1205.34,1188.52,1193.6,4463476,1193.6
29-11-17,1194.8,1194.8,1145.19,1161.27,9179567,1161.27
30-11-17,1167.1,1178.57,1160,1176.75,4406535,1176.75
01-12-17,1172.05,1179.65,1152,1162.35,4070722,1162.35
04-12-17,1173.85,1175.2,1128,1133.95,5872358,1133.95
05-12-17,1128.26,1159.27,1124.74,1141.57,4033184,1141.57
06-12-17,1137.99,1155.89,1136.08,1152.35,2756730,1152.35
07-12-17,1156.59,1163.19,1151,1159.79,2408323,1159.79
08-12-17,1170.4,1172.79,1157.1,1162,2957785,1162
11-12-17,1164.6,1169.9,1157,1168.92,2257922,1168.92
12-12-17,1166.51,1173.6,1161.61,1165.08,2197697,1165.08
13-12-17,1170,1170.87,1160.27,1164.13,2555053,1164.13
14-12-17,1163.71,1177.93,1162.45,1174.26,3069993,1174.26
15-12-17,1179.03,1182.75,1169.33,1179.14,4539895,1179.14
18-12-17,1187.37,1194.78,1180.91,1190.58,2767271,1190.58
19-12-17,1189.15,1192.97,1179.14,1187.38,2555235,1187.38
20-12-17,1190.5,1191,1176,1177.62,2318916,1177.62
21-12-17,1175.9,1179.17,1167.64,1174.76,2042448,1174.76
22-12-17,1172.08,1174.62,1167.83,1168.36,1553997,1168.36
26-12-17,1168.36,1178.32,1160.55,1176.76,1964871,1176.76
27-12-17,1179.91,1187.29,1175.61,1182.26,1779382,1182.26
28-12-17,1189,1190.1,1184.38,1186.1,1803460,1186.1
29-12-17,1182.35,1184,1167.5,1169.47,2625283,1169.47
02-01-18,1172,1190,1170.51,1189.01,2587899,1189.01
03-01-18,1188.3,1205.49,1188.3,1204.2,3044664,1204.2
04-01-18,1205,1215.87,1204.66,1209.59,3000366,1209.59
05-01-18,1217.51,1229.14,1210,1229.14,3430148,1229.14
08-01-18,1236,1253.08,1232.03,1246.87,4177533,1246.87
09-01-18,1256.9,1259.33,1241.76,1252.7,3646681,1252.7
10-01-18,1245.15,1254.33,1237.23,1254.33,2659507,1254.33
11-01-18,1259.74,1276.77,1256.46,1276.68,3075315,1276.68
12-01-18,1273.39,1305.76,1273.39,1305.2,5360681,1305.2
16-01-18,1323,1339.94,1292.3,1304.86,7111172,1304.86
17-01-18,1312.24,1314,1280.88,1295,5166748,1295
18-01-18,1293.95,1304.6,1284.02,1293.32,3941007,1293.32
19-01-18,1312,1313,1292.99,1294.58,4395070,1294.58
22-01-18,1297.17,1327.45,1296.66,1327.31,3970151,1327.31
23-01-18,1338.09,1364.9,1337.34,1362.54,5056764,1362.54
24-01-18,1374.82,1388.16,1338,1357.51,6730084,1357.51
25-01-18,1368,1378.34,1357.62,1377.95,4621862,1377.95
26-01-18,1392.01,1402.53,1380.91,1402.05,4584082,1402.05
29-01-18,1409.18,1431.39,1400.44,1417.68,5628992,1417.68
30-01-18,1403.17,1439.25,1392,1437.82,5736512,1437.82
31-01-18,1451.3,1472.58,1450.04,1451.65,6220396,1451.65
01-02-18,1445,1459.88,1385.14,1390,7812953,1390
02-02-18,1477.39,1498,1414,1431,10915962,1431
05-02-18,1402.62,1458.98,1320.72,1396.62,10756332,1396.62
06-02-18,1361.46,1443.99,1351.79,1442.84,10773963,1442.84
07-02-18,1449,1460.99,1415.15,1416.78,7066828,1416.78
08-02-18,1429.67,1433.75,1349.94,1350.47,8108560,1350.47
09-02-18,1373.49,1383.5,1265.93,1338.99,13787886,1338.99
12-02-18,1364.67,1393.81,1344.01,1386.23,6682214,1386.23
13-02-18,1385.93,1419.72,1383.53,1414.51,5858860,1414.51
14-02-18,1406.25,1452.06,1403.36,1451.05,5881238,1451.05
15-02-18,1466.89,1468.94,1436.84,1461.76,5598111,1461.76
16-02-18,1457.37,1465.8,1446.56,1448.69,4410879,1448.69
20-02-18,1446.49,1488.77,1446.49,1468.35,6388374,1468.35
21-02-18,1485,1503.49,1478.92,1482.92,6216694,1482.92
22-02-18,1495.36,1502.54,1475.76,1484.76,4732555,1484.76
23-02-18,1495.34,1500,1486.5,1500,4327008,1500
26-02-18,1509.2,1522.84,1507,1521.95,4909053,1521.95
27-02-18,1524.5,1526.78,1507.21,1511.98,4708378,1511.98
