,Column,city,job_title,company_name,summary,salary_lower,salary_upper
135,135,Macquarie Park,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
136,136,Macquarie Park,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
137,137,Macquarie Park,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
138,138,Macquarie Park,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
139,139,Macquarie Park,Data Analyst,Munich Re,Data Analyst,0,0
140,140,Macquarie Park,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
141,141,Macquarie Park,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,0,0
142,142,Macquarie Park,Data Analyst,Robert Half Australia,As the Data Analyst,600,
143,143,Macquarie Park,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,0,0
144,144,sydney,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
145,145,sydney,Data Analyst,ANZ Banking Group,Our Data Analyst,0,0
146,146,sydney,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,0,0
147,147,sydney,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",0,0
148,148,sydney,Data Analyst,Amazon.com,As a Data Analyst,0,0
149,149,sydney,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
150,150,sydney,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
151,151,sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
