,city,job_title,company_name,summary,salary_lower,salary_upper,mean_salary
87,Mascot,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0
88,Mascot,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0
89,Mascot,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0
90,Parramatta,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0
91,Parramatta,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0
93,Parramatta,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0
94,Parramatta,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0
95,Parramatta,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0
96,Parramatta,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0
97,Parramatta,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0
98,Parramatta,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0
99,Parramatta,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0
100,Parramatta,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0
101,Parramatta,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0
102,Parramatta,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0
103,Parramatta,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0
104,Parramatta,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0
105,Surry Hills,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0
106,Surry Hills,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0
108,Surry Hills,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0
109,Surry Hills,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0
110,Surry Hills,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0
111,Surry Hills,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0
112,Surry Hills,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0
113,Surry Hills,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0
114,Surry Hills,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0
115,Surry Hills,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0
116,Surry Hills,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0
117,Surry Hills,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0
118,Surry Hills,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0
119,Surry Hills,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0
120,Macquarie Park,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0
121,Macquarie Park,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0
123,Macquarie Park,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0
124,Macquarie Park,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0
125,Macquarie Park,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0
126,Macquarie Park,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0
