,city,job_title,company_name,summary,salary
104,Parramatta,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary
105,Parramatta,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,"$80,000 - $90,000 a year"
106,Parramatta,Data Analyst,Datasii,Extensive experience as a Data Analyst,"$70,000 - $90,000 a year"
107,Parramatta,Data Analyst,Munich Re,Data Analyst,salary
108,Parramatta,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
109,Parramatta,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary
110,Parramatta,Data Analyst,Robert Half Australia,As the Data Analyst,$600 a week
111,Parramatta,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary
112,Surry Hills,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...","$55,000 - $65,000 a year"
113,Surry Hills,Data Analyst,ANZ Banking Group,Our Data Analyst,salary
114,Surry Hills,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,salary
115,Surry Hills,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary
116,Surry Hills,Data Analyst,Amazon.com,As a Data Analyst,salary
117,Surry Hills,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,salary
118,Surry Hills,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",salary
119,Surry Hills,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,"$70,000 - $90,000 a year"
120,Surry Hills,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary
121,Surry Hills,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,"$80,000 - $90,000 a year"
122,Surry Hills,Data Analyst,Datasii,Extensive experience as a Data Analyst,"$70,000 - $90,000 a year"
123,Surry Hills,Data Analyst,Munich Re,Data Analyst,salary
124,Surry Hills,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
125,Surry Hills,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary
126,Surry Hills,Data Analyst,Robert Half Australia,As the Data Analyst,$600 a week
127,Surry Hills,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary
128,Macquarie Park,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...","$55,000 - $65,000 a year"
129,Macquarie Park,Data Analyst,ANZ Banking Group,Our Data Analyst,salary
130,Macquarie Park,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,salary
131,Macquarie Park,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary
132,Macquarie Park,Data Analyst,Amazon.com,As a Data Analyst,salary
133,Macquarie Park,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,salary
134,Macquarie Park,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",salary
135,Macquarie Park,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,"$70,000 - $90,000 a year"
136,Macquarie Park,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary
137,Macquarie Park,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,"$80,000 - $90,000 a year"
138,Macquarie Park,Data Analyst,Datasii,Extensive experience as a Data Analyst,"$70,000 - $90,000 a year"
139,Macquarie Park,Data Analyst,Munich Re,Data Analyst,salary
140,Macquarie Park,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
141,Macquarie Park,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary
142,Macquarie Park,Data Analyst,Robert Half Australia,As the Data Analyst,$600 a week
143,Macquarie Park,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary
144,sydney,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...","$55,000 - $65,000 a year"
145,sydney,Data Analyst,ANZ Banking Group,Our Data Analyst,salary
146,sydney,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,salary
147,sydney,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary
148,sydney,Data Analyst,Amazon.com,As a Data Analyst,salary
