,city,job_title,company_name,summary,salary
136,Sydney,Data Scientist,Domain Group,As a Data Scientist,salary
137,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
138,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
139,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
140,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
141,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
142,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
143,Sydney,Data Scientist,DataRobot,Data Scientist,salary
144,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
145,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
146,Sydney,Data Scientist,Freshwater Group,The Data Scientist,salary
147,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
148,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
149,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
150,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
151,Hills District,Data Scientist,Domain Group,As a Data Scientist,salary
152,Hills District,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
153,Hills District,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
154,Hills District,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
155,Hills District,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
156,Hills District,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
157,Hills District,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
158,Hills District,Data Scientist,DataRobot,Data Scientist,salary
159,Hills District,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
160,Hills District,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
161,Hills District,Data Scientist,Freshwater Group,The Data Scientist,salary
162,Hills District,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
163,Hills District,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
164,Hills District,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
165,Hills District,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
166,Sydney,Data Scientist,Domain Group,As a Data Scientist,salary
167,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
168,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
169,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
170,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
171,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
172,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
173,Sydney,Data Scientist,DataRobot,Data Scientist,salary
174,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
175,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
176,Sydney,Data Scientist,Freshwater Group,The Data Scientist,salary
177,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
178,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
179,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
180,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
181,Sydney,Data Scientist,Domain Group,As a Data Scientist,salary
182,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
183,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
184,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
185,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
186,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
187,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
188,Sydney,Data Scientist,DataRobot,Data Scientist,salary
189,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
190,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
191,Sydney,Data Scientist,Freshwater Group,The Data Scientist,salary
192,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
193,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
194,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
195,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
196,Melbourne,Data Scientist,Domain Group,As a Data Scientist,salary
197,Melbourne,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
198,Melbourne,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
199,Melbourne,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
200,Melbourne,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
201,Melbourne,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
202,Melbourne,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
203,Melbourne,Data Scientist,DataRobot,Data Scientist,salary
204,Melbourne,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
205,Melbourne,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
206,Melbourne,Data Scientist,Freshwater Group,The Data Scientist,salary
207,Melbourne,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
208,Melbourne,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
209,Melbourne,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
210,Melbourne,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
